Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
SaketoriYa Express,ambiente familiar,4.6,"8,000+","Av. Tapachula 7, Chapultepec Este, 22020 Tijuana, B.C., México, B.C. 22020",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/94fb54e18c65ea229bede39acb755f81/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg
Blue Luna  Otay Industrial ,healthy,4.8,"2,000+","Blvd. Alberto Limón Padilla #179, Tijuana, LATAM 22454",32.5371106,-116.9261859,https://tb-static.uber.com/prod/image-proc/processed_images/493024b946c6ea39f6262508463087ff/f8403c421bef668ad381b5e82e546060.jpeg
Rollover,repostería,4.8,"2,000+","Av. De Las Americas Ote. 3680, Anexa 20 De Noviembre, Tijuana, Baja California 22100",15.73806,-92.37861,https://tb-static.uber.com/prod/image-proc/processed_images/b59776be9269dbe8c33037e70c8546fc/69ad85cd7b39888042b3bbf1c22d630d.jpeg
CAFFENIO  Cuauhtémoc,cafetería,4.8,"10,000+","Cuauhtémoc Sur #9702 Entre Gobernador Lugo A Gobernador Ibarra, Colonia Américas. Cp 22044, Tijuana, Baja California 22044",40.57455,-74.30209,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
PizzaLove Libertad,italiana,4.6,900+,"Blvd. Cuauhtemoc Norte 12, Buena Vista, Col. Libertad, Plaza Libertad Local 15, Tijuana, BC 22400",32.5344917,-117.0080568,https://tb-static.uber.com/prod/image-proc/processed_images/ccd611f134c643cffe8f5e287ae66a45/69ad85cd7b39888042b3bbf1c22d630d.webp
Baja Poke  La Cacho,hawaiana,4.8,700+,"2380 Ave. Guanajuato Col. Madero (La Cacho) , Tijuana, BC 22040",32.6167,-115.0833,https://tb-static.uber.com/prod/image-proc/processed_images/b70faccbc601c5a081ab4e99bf540448/f8403c421bef668ad381b5e82e546060.jpeg
CAFFENIO  Vista Río,cafetería,4.8,"5,000+","22226 Calle, Vía Rápida Ote. #6852, Río Tijuana 3a. Etapa, Tercera Etapa Río, 22226 Tijuana, B.C., Mexico, 22225",,,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
CAFFENIO  Casa Blanca,cafetería,4.8,"9,000+","Boulevard Casa Blanca #19161, Fraccionamiento, Loma Dorada, 22214 Tijuana, B.C., Mexico, 22215",32.1895,-115.9708,https://tb-static.uber.com/prod/image-proc/processed_images/53e1081edf917875dd0815be5486e778/7835428b286acb57646a256c897c0e9e.jpeg
Katai,ambiente familiar,4.8,900+,"Blvrd Cuauhtemoc Sur Pte 3135, Madero Sur, 22046 Tijuana, B.C., Mexico, B.C. 22046",32.4911,-117.0231,https://tb-static.uber.com/prod/image-proc/processed_images/57638b3c925b8ff7d702f0cc50c42d9b/7835428b286acb57646a256c897c0e9e.jpeg
Aki Sushi Playas,japonesa,4.7,900+,"Paseo Playas De Tijuana 951, BC 22500",32.4983,-117.1207,https://tb-static.uber.com/prod/image-proc/processed_images/bbc2f55e9d72e40e02ecb9a0e4b96714/69ad85cd7b39888042b3bbf1c22d630d.webp
